WKT,LANUV_ID,Leistung_k
"MULTIPOINT ((331347 5657679))","0002",357.00000000000
"MULTIPOINT ((355710 5708650))","0013",89.82000000000
"MULTIPOINT ((312267 5745322))","0048",93.60000000000
"MULTIPOINT ((351492 5649748))","0051",35.22000000000
"MULTIPOINT ((389163 5652244))","0053",63.75800000000
"MULTIPOINT ((389163 5652244))","0054",50.40000000000
"MULTIPOINT ((352263 5663389))","0061",48.38000000000
"MULTIPOINT ((316376 5643582))","0067",1400.00000000000
"MULTIPOINT ((337770 5666666))","0070",320.00000000000
"MULTIPOINT ((460750 5753481))","0071",214.52000000000
"MULTIPOINT ((416936 5764201))","0081",595.00000000000
"MULTIPOINT ((379763 5705028))","0083",830.40000000000
"MULTIPOINT ((456689 5697903))","0084",222.64000000000
"MULTIPOINT ((433217 5708131))","0092",73.50000000000
"MULTIPOINT ((436314 5706441))","0094",297.00000000000
"MULTIPOINT ((406213 5796435))","0095",994.56000000000
"MULTIPOINT ((409324 5808903))","0096",196.42000000000
"MULTIPOINT ((458325 5724498))","0099",98.00000000000
"MULTIPOINT ((458296 5756177))","0101",73.30000000000
"MULTIPOINT ((458296 5756177))","0102",36.70000000000
"MULTIPOINT ((475845 5743450))","0110",40.33000000000
"MULTIPOINT ((506455 5753151))","0111",403.20000000000
"MULTIPOINT ((501000 5762750))","0118",984.76000000000
"MULTIPOINT ((407060 5796715))","0128",208.50000000000
"MULTIPOINT ((407060 5796715))","0129",43.20000000000
"MULTIPOINT ((469848 5694615))","0131",39.60000000000
"MULTIPOINT ((418080 5801875))","0132",414.96000000000
"MULTIPOINT ((407274 5796847))","0137",530.10000000000
"MULTIPOINT ((464792 5798691))","0138",744.80000000000
"MULTIPOINT ((392825 5768746))","0144",2058.60000000000
"MULTIPOINT ((290373 5635490))","0145",2372.30000000000
"MULTIPOINT ((454226 5701573))","0147",600.32500000000
"MULTIPOINT ((334325 5726167))","0149",548.57000000000
"MULTIPOINT ((373863 5612535))","0160",53.58000000000
"MULTIPOINT ((500460.235 5802926.935))","0169",1071.10000000000
"MULTIPOINT ((506095 5753220))","0170",2156.00000000000
