WKT,LANUV_ID,Leistung_k
"MULTIPOINT ((333864 5670430))",WEA_2,2000.00000000000
"MULTIPOINT ((432966 5753760))",WEA_21,2000.00000000000
"MULTIPOINT ((341499.191 5749700.397))",WEA_26,2300.00000000000
"MULTIPOINT ((438821 5728481))",WEA_49,2300.00000000000
"MULTIPOINT ((491580.966 5716150.466))",WEA_61,3050.00000000000
"MULTIPOINT ((308752.603 5732286.588))",WEA_79,2300.00000000000
"MULTIPOINT ((456681 5707214))",WEA_88,800.00000000000
"MULTIPOINT ((309061.191 5732572.794))",WEA_89,2300.00000000000
"MULTIPOINT ((488945.331 5708387.331))",WEA_101,3000.00000000000
"MULTIPOINT ((320590 5587181))",WEA_108,3000.00000000000
"MULTIPOINT ((320516 5587538))",WEA_123,3000.00000000000
"MULTIPOINT ((320157 5587773))",WEA_127,3000.00000000000
"MULTIPOINT ((456124.397 5685590.198))",WEA_164,1500.00000000000
"MULTIPOINT ((422524.0422 5749737.8441))",WEA_274,2000.00000000000
"MULTIPOINT ((323884 5650290))",WEA_315,2050.00000000000
"MULTIPOINT ((323450 5650130))",WEA_316,2050.00000000000
"MULTIPOINT ((299063 5654280))",WEA_320,2050.00000000000
"MULTIPOINT ((303834 5651090))",WEA_322,3400.00000000000
"MULTIPOINT ((303939 5650850))",WEA_323,3400.00000000000
"MULTIPOINT ((304043 5650610))",WEA_324,3400.00000000000
"MULTIPOINT ((316606 5633575))",WEA_367,3050.00000000000
"MULTIPOINT ((308596 5642950))",WEA_369,3050.00000000000
"MULTIPOINT ((491875 5731030))",WEA_463,2000.00000000000
"MULTIPOINT ((471165.565 5708590.315))",WEA_468,2000.00000000000
"MULTIPOINT ((450833 5774090))",WEA_495,2300.00000000000
"MULTIPOINT ((306424 5731370))",WEA_515,2000.00000000000
"MULTIPOINT ((330987 5655900))",WEA_517,2000.00000000000
"MULTIPOINT ((316494.888 5620671.682))",WEA_522,2300.00000000000
"MULTIPOINT ((327054 5663190))",WEA_525,3400.00000000000
"MULTIPOINT ((326772 5662780))",WEA_527,3400.00000000000
"MULTIPOINT ((327340 5663070))",WEA_528,3400.00000000000
"MULTIPOINT ((414469 5709570))",WEA_549,800.00000000000
"MULTIPOINT ((454077 5707470))",WEA_561,600.00000000000
"MULTIPOINT ((436809.399 5706170.157))",WEA_570,600.00000000000
"MULTIPOINT ((407933 5699810))",WEA_592,600.00000000000
"MULTIPOINT ((402672 5680680))",WEA_596,1250.00000000000
"MULTIPOINT ((414487 5709870))",WEA_601,800.00000000000
"MULTIPOINT ((425442 5751290))",WEA_602,600.00000000000
"MULTIPOINT ((429359 5750010))",WEA_603,600.00000000000
"MULTIPOINT ((425857 5692880))",WEA_629,2000.00000000000
"MULTIPOINT ((418001 5664180))",WEA_631,600.00000000000
"MULTIPOINT ((418057 5664040))",WEA_632,600.00000000000
"MULTIPOINT ((444992 5718320))",WEA_641,600.00000000000
